holiday,date,firstobs,firstproc
Ash Wednesday,1915-02-17,1583,1583
St. Patrick’s day,1915-03-17,400,400
Vernal Equinox,1915-03-21,-10000,-10000
Palm Sunday,1915-03-28,1583,1583
April Fools’ Day,1915-04-01,1564,1564
Good Friday,1915-04-02,1583,1583
Easter Sunday,1915-04-04,30,30
Easter Monday,1915-04-05,1583,1583
ANZAC Day,1915-04-25,1915,1915
Cinco de Mayo,1915-05-05,1809,1809
Mother’s Day,1915-05-09,1907,1907
Victoria Day,1915-05-24,1837,1845
Memorial Day,1915-05-31,1868,1868
Father’s Day,1915-06-20,1910,1910
Summer Solstice,1915-06-22,-10000,-10000
St. Jean-Baptiste Day,1915-06-24,1638,1638
Canada Day,1915-07-01,1867,1867
Independence Day,1915-07-04,1776,1776
Utah Pioneer Day,1915-07-24,1847,1847
Canadian Labour Day,1915-09-06,1884,1884
American Labor Day,1915-09-06,1882,1882
Autumnal Equinox,1915-09-24,-10000,-10000
Canadian Thanksgiving,1915-10-11,1700,1700
Columbus Day,1915-10-12,1905,1905
Creationism Day,1915-10-23,-4004,-4004
Halloween,1915-10-31,-2000,-2000
American Thanksgiving,1915-11-25,1621,1621
St. Andrews Day,1915-11-30,732,732
Winter Solstice,1915-12-22,-10000,-10000
Christmas Eve,1915-12-24,1,1
Christmas in UK and Canada,1915-12-25,1,1
Christmas in the USA,1915-12-25,1,1
Boxing Day in UK and Canada,1915-12-26,1,1
New Year’s Eve,1915-12-31,-154,-154
New Year’s Day,1916-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1916-01-25,1759,1759
Australia Day,1916-01-26,1804,1804
Groundhog Day,1916-02-02,1841,1841
Lincoln’s Birthday,1916-02-12,1809,1809
Valentine’s Day,1916-02-14,200,200
Alberta Family Day,1916-02-21,1900,1900
Washington’s Birthday,1916-02-21,1796,1796
Mardi Gras,1916-03-07,1583,1583
Ash Wednesday,1916-03-08,1583,1583
St. Patrick’s day,1916-03-17,400,400
Vernal Equinox,1916-03-20,-10000,-10000
April Fools’ Day,1916-04-01,1564,1564
Palm Sunday,1916-04-16,1583,1583
Good Friday,1916-04-21,1583,1583
Easter Sunday,1916-04-23,30,30
Easter Monday,1916-04-24,1583,1583
ANZAC Day,1916-04-25,1915,1915
Cinco de Mayo,1916-05-05,1809,1809
Mother’s Day,1916-05-14,1907,1907
Victoria Day,1916-05-24,1837,1845
Memorial Day,1916-05-29,1868,1868
Father’s Day,1916-06-18,1910,1910
Summer Solstice,1916-06-21,-10000,-10000
St. Jean-Baptiste Day,1916-06-24,1638,1638
Canada Day,1916-07-01,1867,1867
Independence Day,1916-07-04,1776,1776
Utah Pioneer Day,1916-07-24,1847,1847
Daylight Saving Time End,1916-08-02,1916,1916
Canadian Labour Day,1916-09-04,1884,1884
American Labor Day,1916-09-04,1882,1882
Autumnal Equinox,1916-09-23,-10000,-10000
Canadian Thanksgiving,1916-10-09,1700,1700
Columbus Day,1916-10-12,1905,1905
Creationism Day,1916-10-23,-4004,-4004
Halloween,1916-10-31,-2000,-2000
General Election Day,1916-11-07,1789,1789
American Thanksgiving,1916-11-30,1621,1621
St. Andrews Day,1916-11-30,732,732
Winter Solstice,1916-12-22,-10000,-10000
Christmas Eve,1916-12-24,1,1
Christmas in UK and Canada,1916-12-25,1,1
Christmas in the USA,1916-12-25,1,1
Boxing Day in UK and Canada,1916-12-26,1,1
New Year’s Eve,1916-12-31,-154,-154
New Year’s Day,1917-01-01,-153,-153
US Congressional Start Day,1917-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1917-01-25,1759,1759
Australia Day,1917-01-26,1804,1804
Groundhog Day,1917-02-02,1841,1841
Lincoln’s Birthday,1917-02-12,1809,1809
Valentine’s Day,1917-02-14,200,200
Alberta Family Day,1917-02-19,1900,1900
Washington’s Birthday,1917-02-19,1796,1796
Mardi Gras,1917-02-20,1583,1583
Ash Wednesday,1917-02-21,1583,1583
US Presidential Inauguration Day,1917-03-05,1789,1789
St. Patrick’s day,1917-03-17,400,400
Vernal Equinox,1917-03-21,-10000,-10000
Palm Sunday,1917-04-01,1583,1583
April Fools’ Day,1917-04-01,1564,1564
Good Friday,1917-04-06,1583,1583
Easter Sunday,1917-04-08,30,30
Easter Monday,1917-04-09,1583,1583
ANZAC Day,1917-04-25,1915,1915
Cinco de Mayo,1917-05-05,1809,1809
Mother’s Day,1917-05-13,1907,1907
Victoria Day,1917-05-24,1837,1845
Memorial Day,1917-05-28,1868,1868
Father’s Day,1917-06-17,1910,1910
Summer Solstice,1917-06-22,-10000,-10000
St. Jean-Baptiste Day,1917-06-24,1638,1638
Canada Day,1917-07-02,1867,1867
Independence Day,1917-07-04,1776,1776
Utah Pioneer Day,1917-07-24,1847,1847
Daylight Saving Time End,1917-08-02,1916,1916
Canadian Labour Day,1917-09-03,1884,1884
American Labor Day,1917-09-03,1882,1882
Autumnal Equinox,1917-09-23,-10000,-10000
Canadian Thanksgiving,1917-10-08,1700,1700
Columbus Day,1917-10-12,1905,1905
Creationism Day,1917-10-23,-4004,-4004
Halloween,1917-10-31,-2000,-2000
American Thanksgiving,1917-11-29,1621,1621
St. Andrews Day,1917-11-30,732,732
Winter Solstice,1917-12-22,-10000,-10000
Christmas Eve,1917-12-24,1,1
Christmas in UK and Canada,1917-12-25,1,1
Christmas in the USA,1917-12-25,1,1
Boxing Day in UK and Canada,1917-12-26,1,1
New Year’s Eve,1917-12-31,-154,-154
New Year’s Day,1918-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1918-01-25,1759,1759
Australia Day,1918-01-26,1804,1804
Groundhog Day,1918-02-02,1841,1841
Mardi Gras,1918-02-12,1583,1583
Lincoln’s Birthday,1918-02-12,1809,1809
Ash Wednesday,1918-02-13,1583,1583
Valentine’s Day,1918-02-14,200,200
Alberta Family Day,1918-02-18,1900,1900
Washington’s Birthday,1918-02-18,1796,1796
St. Patrick’s day,1918-03-17,400,400
Vernal Equinox,1918-03-21,-10000,-10000
Palm Sunday,1918-03-24,1583,1583
Good Friday,1918-03-29,1583,1583
Daylight Saving Time Start,1918-03-31,1916,1916
Easter Sunday,1918-03-31,30,30
April Fools’ Day,1918-04-01,1564,1564
Easter Monday,1918-04-01,1583,1583
ANZAC Day,1918-04-25,1915,1915
Cinco de Mayo,1918-05-05,1809,1809
Mother’s Day,1918-05-12,1907,1907
Victoria Day,1918-05-24,1837,1845
Memorial Day,1918-05-27,1868,1868
Father’s Day,1918-06-16,1910,1910
Summer Solstice,1918-06-22,-10000,-10000
St. Jean-Baptiste Day,1918-06-24,1638,1638
Canada Day,1918-07-01,1867,1867
Independence Day,1918-07-04,1776,1776
Utah Pioneer Day,1918-07-24,1847,1847
Canadian Labour Day,1918-09-02,1884,1884
American Labor Day,1918-09-02,1882,1882
Autumnal Equinox,1918-09-23,-10000,-10000
Columbus Day,1918-10-12,1905,1905
Canadian Thanksgiving,1918-10-14,1700,1700
Creationism Day,1918-10-23,-4004,-4004
Daylight Saving Time End,1918-10-27,1916,1916
Halloween,1918-10-31,-2000,-2000
General Election Day,1918-11-05,1789,1789
American Thanksgiving,1918-11-28,1621,1621
St. Andrews Day,1918-11-30,732,732
Winter Solstice,1918-12-22,-10000,-10000
Christmas Eve,1918-12-24,1,1
Christmas in UK and Canada,1918-12-25,1,1
Christmas in the USA,1918-12-25,1,1
Boxing Day in UK and Canada,1918-12-26,1,1
New Year’s Eve,1918-12-31,-154,-154
New Year’s Day,1919-01-01,-153,-153
US Congressional Start Day,1919-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1919-01-25,1759,1759
Australia Day,1919-01-26,1804,1804
Groundhog Day,1919-02-02,1841,1841
Lincoln’s Birthday,1919-02-12,1809,1809
Valentine’s Day,1919-02-14,200,200
Alberta Family Day,1919-02-17,1900,1900
Washington’s Birthday,1919-02-17,1796,1796
Mardi Gras,1919-03-04,1583,1583
Ash Wednesday,1919-03-05,1583,1583
St. Patrick’s day,1919-03-17,400,400
Vernal Equinox,1919-03-21,-10000,-10000
Daylight Saving Time Start,1919-03-30,1916,1916
April Fools’ Day,1919-04-01,1564,1564
Palm Sunday,1919-04-13,1583,1583
Good Friday,1919-04-18,1583,1583
Easter Sunday,1919-04-20,30,30
Easter Monday,1919-04-21,1583,1583
ANZAC Day,1919-04-25,1915,1915
Cinco de Mayo,1919-05-05,1809,1809
Mother’s Day,1919-05-11,1907,1907
Victoria Day,1919-05-24,1837,1845
Memorial Day,1919-05-26,1868,1868
Father’s Day,1919-06-15,1910,1910
Summer Solstice,1919-06-22,-10000,-10000
St. Jean-Baptiste Day,1919-06-24,1638,1638
Canada Day,1919-07-01,1867,1867
Independence Day,1919-07-04,1776,1776
Utah Pioneer Day,1919-07-24,1847,1847
Canadian Labour Day,1919-09-01,1884,1884
American Labor Day,1919-09-01,1882,1882
Autumnal Equinox,1919-09-24,-10000,-10000
Columbus Day,1919-10-12,1905,1905
Canadian Thanksgiving,1919-10-13,1700,1700
Creationism Day,1919-10-23,-4004,-4004
Daylight Saving Time End,1919-10-26,1916,1916
Halloween,1919-10-31,-2000,-2000
American Thanksgiving,1919-11-27,1621,1621
St. Andrews Day,1919-11-30,732,732
Winter Solstice,1919-12-22,-10000,-10000
Christmas Eve,1919-12-24,1,1
Christmas in UK and Canada,1919-12-25,1,1
Christmas in the USA,1919-12-25,1,1
Boxing Day in UK and Canada,1919-12-26,1,1
New Year’s Eve,1919-12-31,-154,-154
New Year’s Day,1920-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1920-01-25,1759,1759
Australia Day,1920-01-26,1804,1804
Groundhog Day,1920-02-02,1841,1841
Lincoln’s Birthday,1920-02-12,1809,1809
Valentine’s Day,1920-02-14,200,200
Alberta Family Day,1920-02-16,1900,1900
Washington’s Birthday,1920-02-16,1796,1796
Mardi Gras,1920-02-17,1583,1583
Ash Wednesday,1920-02-18,1583,1583
St. Patrick’s day,1920-03-17,400,400
Vernal Equinox,1920-03-20,-10000,-10000
Daylight Saving Time Start,1920-03-28,1916,1916
Palm Sunday,1920-03-28,1583,1583
April Fools’ Day,1920-04-01,1564,1564
Good Friday,1920-04-02,1583,1583
Easter Sunday,1920-04-04,30,30
Easter Monday,1920-04-05,1583,1583
ANZAC Day,1920-04-25,1915,1915
Cinco de Mayo,1920-05-05,1809,1809
Mother’s Day,1920-05-09,1907,1907
Victoria Day,1920-05-24,1837,1845
Memorial Day,1920-05-31,1868,1868
Father’s Day,1920-06-20,1910,1910
Summer Solstice,1920-06-21,-10000,-10000
St. Jean-Baptiste Day,1920-06-24,1638,1638
Canada Day,1920-07-01,1867,1867
Independence Day,1920-07-04,1776,1776
Utah Pioneer Day,1920-07-24,1847,1847
Canadian Labour Day,1920-09-06,1884,1884
American Labor Day,1920-09-06,1882,1882
Autumnal Equinox,1920-09-23,-10000,-10000
Canadian Thanksgiving,1920-10-11,1700,1700
Columbus Day,1920-10-12,1905,1905
Creationism Day,1920-10-23,-4004,-4004
Halloween,1920-10-31,-2000,-2000
Daylight Saving Time End,1920-10-31,1916,1916
General Election Day,1920-11-02,1789,1789
American Thanksgiving,1920-11-25,1621,1621
St. Andrews Day,1920-11-30,732,732
Winter Solstice,1920-12-22,-10000,-10000
Christmas Eve,1920-12-24,1,1
Christmas in UK and Canada,1920-12-25,1,1
Christmas in the USA,1920-12-25,1,1
Boxing Day in UK and Canada,1920-12-26,1,1
New Year’s Eve,1920-12-31,-154,-154
New Year’s Day,1921-01-01,-153,-153
US Congressional Start Day,1921-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1921-01-25,1759,1759
Australia Day,1921-01-26,1804,1804
Groundhog Day,1921-02-02,1841,1841
Mardi Gras,1921-02-08,1583,1583
Ash Wednesday,1921-02-09,1583,1583
Lincoln’s Birthday,1921-02-12,1809,1809
Valentine’s Day,1921-02-14,200,200
Alberta Family Day,1921-02-21,1900,1900
Washington’s Birthday,1921-02-21,1796,1796
US Presidential Inauguration Day,1921-03-04,1789,1789
St. Patrick’s day,1921-03-17,400,400
Palm Sunday,1921-03-20,1583,1583
Vernal Equinox,1921-03-21,-10000,-10000
Good Friday,1921-03-25,1583,1583
Easter Sunday,1921-03-27,30,30
Easter Monday,1921-03-28,1583,1583
April Fools’ Day,1921-04-01,1564,1564
Daylight Saving Time Start,1921-04-24,1916,1916
ANZAC Day,1921-04-25,1915,1915
Cinco de Mayo,1921-05-05,1809,1809
Mother’s Day,1921-05-08,1907,1907
Victoria Day,1921-05-24,1837,1845
Memorial Day,1921-05-30,1868,1868
Father’s Day,1921-06-19,1910,1910
Summer Solstice,1921-06-21,-10000,-10000
St. Jean-Baptiste Day,1921-06-24,1638,1638
Canada Day,1921-07-01,1867,1867
Independence Day,1921-07-04,1776,1776
Utah Pioneer Day,1921-07-24,1847,1847
Canadian Labour Day,1921-09-05,1884,1884
American Labor Day,1921-09-05,1882,1882
Autumnal Equinox,1921-09-23,-10000,-10000
Daylight Saving Time End,1921-09-25,1916,1916
Canadian Thanksgiving,1921-10-10,1700,1700
Columbus Day,1921-10-12,1905,1905
Creationism Day,1921-10-23,-4004,-4004
Halloween,1921-10-31,-2000,-2000
American Thanksgiving,1921-11-24,1621,1621
St. Andrews Day,1921-11-30,732,732
Winter Solstice,1921-12-22,-10000,-10000
Christmas Eve,1921-12-24,1,1
Christmas in UK and Canada,1921-12-25,1,1
Christmas in the USA,1921-12-25,1,1
Boxing Day in UK and Canada,1921-12-26,1,1
New Year’s Eve,1921-12-31,-154,-154
New Year’s Day,1922-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1922-01-25,1759,1759
Australia Day,1922-01-26,1804,1804
Groundhog Day,1922-02-02,1841,1841
Lincoln’s Birthday,1922-02-12,1809,1809
Valentine’s Day,1922-02-14,200,200
Alberta Family Day,1922-02-20,1900,1900
Washington’s Birthday,1922-02-20,1796,1796
Mardi Gras,1922-02-28,1583,1583
Ash Wednesday,1922-03-01,1583,1583
St. Patrick’s day,1922-03-17,400,400
Vernal Equinox,1922-03-21,-10000,-10000
April Fools’ Day,1922-04-01,1564,1564
Palm Sunday,1922-04-09,1583,1583
Good Friday,1922-04-14,1583,1583
Easter Sunday,1922-04-16,30,30
Easter Monday,1922-04-17,1583,1583
ANZAC Day,1922-04-25,1915,1915
Daylight Saving Time Start,1922-04-30,1916,1916
Cinco de Mayo,1922-05-05,1809,1809
Mother’s Day,1922-05-14,1907,1907
Victoria Day,1922-05-24,1837,1845
Memorial Day,1922-05-29,1868,1868
Father’s Day,1922-06-18,1910,1910
Summer Solstice,1922-06-22,-10000,-10000
St. Jean-Baptiste Day,1922-06-24,1638,1638
Canada Day,1922-07-01,1867,1867
Independence Day,1922-07-04,1776,1776
Utah Pioneer Day,1922-07-24,1847,1847
Canadian Labour Day,1922-09-04,1884,1884
American Labor Day,1922-09-04,1882,1882
Autumnal Equinox,1922-09-23,-10000,-10000
Daylight Saving Time End,1922-09-24,1916,1916
Canadian Thanksgiving,1922-10-09,1700,1700
Columbus Day,1922-10-12,1905,1905
Creationism Day,1922-10-23,-4004,-4004
Halloween,1922-10-31,-2000,-2000
General Election Day,1922-11-07,1789,1789
American Thanksgiving,1922-11-30,1621,1621
St. Andrews Day,1922-11-30,732,732
Winter Solstice,1922-12-22,-10000,-10000
Christmas Eve,1922-12-24,1,1
Christmas in UK and Canada,1922-12-25,1,1
Christmas in the USA,1922-12-25,1,1
Boxing Day in UK and Canada,1922-12-26,1,1
New Year’s Eve,1922-12-31,-154,-154
New Year’s Day,1923-01-01,-153,-153
US Congressional Start Day,1923-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1923-01-25,1759,1759
Australia Day,1923-01-26,1804,1804
Groundhog Day,1923-02-02,1841,1841
Lincoln’s Birthday,1923-02-12,1809,1809
Mardi Gras,1923-02-13,1583,1583
Ash Wednesday,1923-02-14,1583,1583
Valentine’s Day,1923-02-14,200,200
Alberta Family Day,1923-02-19,1900,1900
Washington’s Birthday,1923-02-19,1796,1796
St. Patrick’s day,1923-03-17,400,400
Vernal Equinox,1923-03-21,-10000,-10000
Palm Sunday,1923-03-25,1583,1583
Good Friday,1923-03-30,1583,1583
April Fools’ Day,1923-04-01,1564,1564
Easter Sunday,1923-04-01,30,30
Easter Monday,1923-04-02,1583,1583
ANZAC Day,1923-04-25,1915,1915
Daylight Saving Time Start,1923-04-29,1916,1916
Cinco de Mayo,1923-05-05,1809,1809
Mother’s Day,1923-05-13,1907,1907
Victoria Day,1923-05-24,1837,1845
Memorial Day,1923-05-28,1868,1868
Father’s Day,1923-06-17,1910,1910
Summer Solstice,1923-06-22,-10000,-10000
St. Jean-Baptiste Day,1923-06-24,1638,1638
Canada Day,1923-07-02,1867,1867
Independence Day,1923-07-04,1776,1776
Utah Pioneer Day,1923-07-24,1847,1847
Canadian Labour Day,1923-09-03,1884,1884
American Labor Day,1923-09-03,1882,1882
Autumnal Equinox,1923-09-24,-10000,-10000
Daylight Saving Time End,1923-09-30,1916,1916
Canadian Thanksgiving,1923-10-08,1700,1700
Columbus Day,1923-10-12,1905,1905
Creationism Day,1923-10-23,-4004,-4004
Halloween,1923-10-31,-2000,-2000
American Thanksgiving,1923-11-29,1621,1621
St. Andrews Day,1923-11-30,732,732
Winter Solstice,1923-12-22,-10000,-10000
Christmas Eve,1923-12-24,1,1
Christmas in UK and Canada,1923-12-25,1,1
Christmas in the USA,1923-12-25,1,1
Boxing Day in UK and Canada,1923-12-26,1,1
New Year’s Eve,1923-12-31,-154,-154
New Year’s Day,1924-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1924-01-25,1759,1759
Australia Day,1924-01-26,1804,1804
Groundhog Day,1924-02-02,1841,1841
Lincoln’s Birthday,1924-02-12,1809,1809
Valentine’s Day,1924-02-14,200,200
Alberta Family Day,1924-02-18,1900,1900
Washington’s Birthday,1924-02-18,1796,1796
Mardi Gras,1924-03-04,1583,1583
Ash Wednesday,1924-03-05,1583,1583
St. Patrick’s day,1924-03-17,400,400
Vernal Equinox,1924-03-20,-10000,-10000
April Fools’ Day,1924-04-01,1564,1564
Palm Sunday,1924-04-13,1583,1583
Good Friday,1924-04-18,1583,1583
Easter Sunday,1924-04-20,30,30
Easter Monday,1924-04-21,1583,1583
ANZAC Day,1924-04-25,1915,1915
Daylight Saving Time Start,1924-04-27,1916,1916
Cinco de Mayo,1924-05-05,1809,1809
Mother’s Day,1924-05-11,1907,1907
Victoria Day,1924-05-24,1837,1845
Memorial Day,1924-05-26,1868,1868
Father’s Day,1924-06-15,1910,1910
Summer Solstice,1924-06-21,-10000,-10000
St. Jean-Baptiste Day,1924-06-24,1638,1638
Canada Day,1924-07-01,1867,1867
Independence Day,1924-07-04,1776,1776
Utah Pioneer Day,1924-07-24,1847,1847
Canadian Labour Day,1924-09-01,1884,1884
American Labor Day,1924-09-01,1882,1882
Autumnal Equinox,1924-09-23,-10000,-10000
Daylight Saving Time End,1924-09-28,1916,1916
Columbus Day,1924-10-12,1905,1905
Canadian Thanksgiving,1924-10-13,1700,1700
Creationism Day,1924-10-23,-4004,-4004
Halloween,1924-10-31,-2000,-2000
General Election Day,1924-11-04,1789,1789
American Thanksgiving,1924-11-27,1621,1621
St. Andrews Day,1924-11-30,732,732
Winter Solstice,1924-12-22,-10000,-10000
Christmas Eve,1924-12-24,1,1
Christmas in UK and Canada,1924-12-25,1,1
Christmas in the USA,1924-12-25,1,1
Boxing Day in UK and Canada,1924-12-26,1,1
New Year’s Eve,1924-12-31,-154,-154
New Year’s Day,1925-01-01,-153,-153
US Congressional Start Day,1925-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1925-01-25,1759,1759
Australia Day,1925-01-26,1804,1804
Groundhog Day,1925-02-02,1841,1841
Lincoln’s Birthday,1925-02-12,1809,1809
Valentine’s Day,1925-02-14,200,200
Alberta Family Day,1925-02-16,1900,1900
Washington’s Birthday,1925-02-16,1796,1796
Mardi Gras,1925-02-24,1583,1583
Ash Wednesday,1925-02-25,1583,1583
US Presidential Inauguration Day,1925-03-04,1789,1789
St. Patrick’s day,1925-03-17,400,400
Vernal Equinox,1925-03-21,-10000,-10000
April Fools’ Day,1925-04-01,1564,1564
Palm Sunday,1925-04-05,1583,1583
Good Friday,1925-04-10,1583,1583
Easter Sunday,1925-04-12,30,30
Easter Monday,1925-04-13,1583,1583
ANZAC Day,1925-04-25,1915,1915
Daylight Saving Time Start,1925-04-26,1916,1916
Cinco de Mayo,1925-05-05,1809,1809
Mother’s Day,1925-05-10,1907,1907
Victoria Day,1925-05-25,1837,1845
Memorial Day,1925-05-25,1868,1868
Father’s Day,1925-06-21,1910,1910
Summer Solstice,1925-06-21,-10000,-10000
St. Jean-Baptiste Day,1925-06-24,1638,1638
Canada Day,1925-07-01,1867,1867
Independence Day,1925-07-04,1776,1776
Utah Pioneer Day,1925-07-24,1847,1847
Canadian Labour Day,1925-09-07,1884,1884
American Labor Day,1925-09-07,1882,1882
Autumnal Equinox,1925-09-23,-10000,-10000
Daylight Saving Time End,1925-09-27,1916,1916
Canadian Thanksgiving,1925-10-12,1700,1700
Columbus Day,1925-10-12,1905,1905
Creationism Day,1925-10-23,-4004,-4004
Halloween,1925-10-31,-2000,-2000
American Thanksgiving,1925-11-26,1621,1621
St. Andrews Day,1925-11-30,732,732
Winter Solstice,1925-12-22,-10000,-10000
Christmas Eve,1925-12-24,1,1
Christmas in UK and Canada,1925-12-25,1,1
Christmas in the USA,1925-12-25,1,1
Boxing Day in UK and Canada,1925-12-26,1,1
New Year’s Eve,1925-12-31,-154,-154
New Year’s Day,1926-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1926-01-25,1759,1759
Australia Day,1926-01-26,1804,1804
Groundhog Day,1926-02-02,1841,1841
Lincoln’s Birthday,1926-02-12,1809,1809
Valentine’s Day,1926-02-14,200,200
Alberta Family Day,1926-02-15,1900,1900
Washington’s Birthday,1926-02-15,1796,1796
Mardi Gras,1926-02-16,1583,1583
Ash Wednesday,1926-02-17,1583,1583
St. Patrick’s day,1926-03-17,400,400
Vernal Equinox,1926-03-21,-10000,-10000
Palm Sunday,1926-03-28,1583,1583
April Fools’ Day,1926-04-01,1564,1564
